
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-08-06 13:46:35 ...................................................................................... ~ 1.02ms
  2026-08-06 13:50:42 ...................................................................................... ~ 0.93ms
  2026-08-06 13:50:43 .......................................................................................... ~ 4s
  2026-08-06 13:50:47 ......................................................................................... ~ 24s
  2026-08-06 13:51:12 ...................................................................................... ~ 2.92ms
  2026-08-06 13:51:13 .................................................................................... ~ 509.00ms
  2026-08-06 13:51:13 .................................................................................... ~ 511.01ms
  2026-08-06 13:51:25 ...................................................................................... ~ 2.11ms
  2026-08-06 13:51:25 .................................................................................... ~ 507.46ms
  2026-08-06 13:51:25 ......................................................................................... ~ 13s
  2026-08-06 13:51:39 .................................................................................... ~ 514.00ms
  2026-08-06 13:51:39 ...................................................................................... ~ 1m 27s
  2026-08-06 13:53:58 ...................................................................................... ~ 4.09ms
  2026-08-06 13:53:59 ...................................................................................... ~ 3.23ms
  2026-08-06 13:53:59 .................................................................................... ~ 508.62ms
  2026-08-06 13:53:59 ...................................................................................... ~ 0.19ms
  2026-08-06 13:53:59 .................................................................................... ~ 517.14ms
  2026-08-06 13:53:59 .................................................................................... ~ 518.36ms
  2026-08-06 13:53:59 .................................................................................... ~ 519.47ms
  2026-08-06 13:53:59 .................................................................................... ~ 520.58ms
  2026-08-06 13:53:59 .......................................................................................... ~ 1s
  2026-08-06 13:54:00 .................................................................................... ~ 504.27ms
  2026-08-06 13:54:00 ...................................................................................... ~ 1.23ms
  2026-08-06 13:54:01 .................................................................................... ~ 511.79ms
  2026-08-06 13:54:01 ...................................................................................... ~ 0.15ms
  2026-08-06 13:54:01 ...................................................................................... ~ 0.17ms
  2026-08-06 13:54:04 ...................................................................................... ~ 2.58ms
  2026-08-06 13:54:04 ...................................................................................... ~ 3.97ms
  2026-08-06 13:54:04 .................................................................................... ~ 507.23ms
  2026-08-06 13:54:04 .................................................................................... ~ 508.52ms
  2026-08-06 13:54:05 .................................................................................... ~ 514.04ms
  2026-08-06 13:54:05 .................................................................................... ~ 515.23ms
  2026-08-06 13:54:05 ...................................................................................... ~ 1.94ms
  2026-08-06 13:54:05 ...................................................................................... ~ 1.54ms
  2026-08-06 13:54:05 .................................................................................... ~ 507.63ms
  2026-08-06 13:54:06 .................................................................................... ~ 507.47ms
  2026-08-06 13:54:06 ...................................................................................... ~ 1.47ms
  2026-08-06 13:54:06 .................................................................................... ~ 513.26ms
  2026-08-06 13:54:06 .................................................................................... ~ 513.07ms
  2026-08-06 13:54:06 ...................................................................................... ~ 2.45ms
  2026-08-06 13:54:06 ...................................................................................... ~ 1.60ms
  2026-08-06 13:54:07 .................................................................................... ~ 511.29ms
